stock_code,download_date,data_start_date,data_end_date,source
002104,2025-10-05,20240101,20250930,billboard_active_stocks
002165,2025-10-05,20240101,20250930,billboard_active_stocks
301357,2025-10-05,20240101,20250930,billboard_active_stocks
603072,2025-10-05,20240101,20250930,billboard_active_stocks
603280,2025-10-05,20240101,20250930,billboard_active_stocks
603716,2025-10-05,20240101,20250930,billboard_active_stocks
600410,2025-10-05,20240101,20250930,billboard_active_stocks
900939,2025-10-05,20240101,20250930,billboard_active_stocks
002553,2025-10-05,20240101,20250930,billboard_active_stocks
920002,2025-10-05,20240101,20250930,billboard_active_stocks
002298,2025-10-05,20240101,20250930,billboard_active_stocks
920662,2025-10-05,20240101,20250930,billboard_active_stocks
002365,2025-10-05,20240101,20250930,billboard_active_stocks
600610,2025-10-05,20240101,20250930,billboard_active_stocks
920351,2025-10-05,20240101,20250930,billboard_active_stocks
605069,2025-10-05,20240101,20250930,billboard_active_stocks
301396,2025-10-05,20240101,20250930,billboard_active_stocks
920082,2025-10-05,20240101,20250930,billboard_active_stocks
688585,2025-10-05,20240101,20250930,billboard_active_stocks
002272,2025-10-05,20240101,20250930,billboard_active_stocks
002809,2025-10-05,20240101,20250930,billboard_active_stocks
002640,2025-10-05,20240101,20250930,billboard_active_stocks
603042,2025-10-05,20240101,20250930,billboard_active_stocks
920088,2025-10-05,20240101,20250930,billboard_active_stocks
002549,2025-10-05,20240101,20250930,billboard_active_stocks
002115,2025-10-05,20240101,20250930,billboard_active_stocks
002094,2025-10-05,20240101,20250930,billboard_active_stocks
603124,2025-10-05,20240101,20250930,billboard_active_stocks
920533,2025-10-05,20240101,20250930,billboard_active_stocks
