Date,股票名称,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,PriceChangeRate,PriceChangeAmount,TurnoverRate,MainNetInflow,MainNetInflowRatio,SuperLargeNetInflow,SuperLargeNetInflowRatio,LargeNetInflow,LargeNetInflowRatio,MediumNetInflow,MediumNetInflowRatio,SmallNetInflow,SmallNetInflowRatio,MA5,MA10,MA20,MA50,MA100,MA200,AVG_VOL,AVG_TR,EMA_12,EMA_26,Denoised_PriceChange,Momentum,Volatility,ROC,STD,Upper_Band,Lower_Band,%B,MACD,Signal,K,D,J,Stoch_K,Stoch_D,DI_plus,DI_minus,ADX,VWAP,MFI,AD,OBV,TRIX,TEMA,Williams_R,ATR,CCI,RSI,HV_20,GK_Volatility,Vol_Ratio,TR,TR_ROC,UD_Ratio,Normalized_ATR,BB_Width,Price_Up,Up_Days_Ratio,Extreme_Day,Extreme_Days_Count,Overbought,Oversold,OB_OS_Signal,Trend_Strength,TSI,CMO,Fisher_Transform_RSI,KST,KST_Signal,Close_Open_Ratio,High_Low_Ratio,Close_High_Position,Close_Pct_1,Volume_Pct_1,TurnoverRate_Pct_1,Close_Pct_3,Volume_Pct_3,TurnoverRate_Pct_3,Close_Pct_5,Volume_Pct_5,TurnoverRate_Pct_5,Close_Pct_10,Volume_Pct_10,TurnoverRate_Pct_10,Close_Pct_20,Volume_Pct_20,TurnoverRate_Pct_20,Price_Volatility_5,Price_Volatility_10,Price_Volatility_20,Volume_Price_Correlation,Turnover_Price_Correlation,MainInflow_Volume_Ratio,MainInflow_Amount_Ratio,MainInflow_MA_3,MainInflowRatio_MA_3,MainInflow_MA_5,MainInflowRatio_MA_5,MainInflow_MA_10,MainInflowRatio_MA_10
2024-01-02,华胜天成,600410,6.71,6.62,6.74,6.61,128697,85797467.0,1.8126888217522674,-1.34,-0.09,1.17,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.508,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.004289431955195431,-0.005746705662308891,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.0005477397547624478,-0.0002105436020984142,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-108897.46153846194,128697.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.1299999999999999,30.769230769230816,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-100.0,0.0,0.0,0.2928589996183077,0.7926639766641492,0.9865871833084948,1.0196671709531013,0.07692307692307535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.1225426968562,-0.14868589128993875,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,华胜天成,600410,6.59,6.6,6.65,6.53,118069,77859681.0,1.8126888217522674,-0.3,-0.02,1.08,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.508,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.009137730828221807,-0.016163628119814942,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,0.0005378955826659115,0.0001454081161372793,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-89219.29487179659,10628.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.1200000000000001,30.769230769230816,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-100.0,0.0,0.0,0.2928589996183077,0.7926639766641492,1.0015174506828528,1.0183767228177643,0.5833333333333278,-0.0030211480362538623,-0.08258156755790735,-0.07692307692307676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.04499872956721,-0.1638444015222153,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,华胜天成,600410,6.56,6.58,6.68,6.53,109483,72404409.0,2.272727272727265,-0.3,-0.02,1.0,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.508,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.01287347762393333,0.003978442866658564,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.0059377764004284895,-0.0014691818789844824,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-125713.62820512992,-98855.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.14999999999999947,30.769230769230816,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-100.00000000000001,0.0,0.0,0.2928589996183077,0.7926639766641492,1.003048780487805,1.0229709035222052,0.3333333333333333,-0.003030303030302939,-0.07272018904200084,-0.07407407407407418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.51814877059661,-0.17618917135019815,-12756873.0,-2.89,0.0,0.0,0.0,0.0
2024-01-05,华胜天成,600410,6.57,6.44,6.61,6.41,119322,77798240.0,3.0395136778115526,-2.13,-0.14,1.09,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.508,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.013039142324440069,0.061468843744412104,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.018555020151396907,-0.004526267459277311,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-209239.02820512967,-218177.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.20000000000000018,30.769230769230816,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-100.0,0.0,0.0,0.2928589996183077,0.7926639766641492,0.980213089802131,1.031201248049922,0.1500000000000011,-0.02127659574468077,0.08986783336225712,0.09000000000000008,-0.027190332326283984,-0.07284552087461249,-0.06837606837606824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.91042799795513,-0.16397379729960732,-12756873.0,-2.89,0.0,0.0,0.0,0.0
2024-01-08,华胜天成,600410,6.42,6.3,6.44,6.3,106496,67927733.0,2.1739130434782696,-2.17,-0.14,0.97,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.508,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.010449870439236737,-0.05716807521528991,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.036584546999389685,-0.010992784537889112,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-315735.02820512967,-324673.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.14000000000000057,30.769230769230816,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-100.00000000000001,0.0,0.0,0.2928589996183077,0.7926639766641492,0.9813084112149533,1.0222222222222224,0.0,-0.021739130434782705,-0.10749065553711801,-0.11009174311926617,-0.045454545454545414,-0.09801895501782854,-0.10185185185185197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.78621933012198,-0.18780065591471076,-12756873.0,-2.89,-12756873.0,-2.89,0.0,0.0
2024-01-09,华胜天成,600410,6.32,6.28,6.39,6.22,112911,71247870.0,2.6984126984126977,-0.32,-0.02,1.03,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.44,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.006202207864497319,-0.3608288086897262,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.06155198537423101,-0.021444442272822314,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-348944.14585218776,-437584.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.16999999999999993,30.769230769230816,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-100.0,0.0,0.0,0.2928589996183077,0.7926639766641492,0.9936708860759493,1.027331189710611,0.3529411764705913,-0.0031746031746030523,0.06023700420673084,0.061855670103092786,-0.045592705167173175,0.03131079711005369,0.030000000000000027,-0.051359516616314216,-0.12266020186950743,-0.11965811965811957,0.0,0.0,0.0,0.0,0.0,0.0,0.010097410205943434,0.0,0.0,0.0,0.0,-112.98066635964291,-0.17904918169414494,-12756873.0,-2.89,-12756873.0,-2.89,0.0,0.0
2024-01-10,华胜天成,600410,6.24,6.11,6.27,6.06,107908,66507412.0,3.3439490445859867,-2.71,-0.17,0.98,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.3420000000000005,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.0033047767344019747,-0.43907619935653824,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.07986523197027681,-0.03244329340912389,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-405467.3839474251,-545492.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.22000000000000064,83.3333333333337,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-99.99999999999999,0.0,0.0,0.2928589996183077,0.7926639766641492,0.9791666666666666,1.0346534653465347,0.23809523809524152,-0.027070063694267454,-0.04430923470698156,-0.04854368932038844,-0.05124223602484468,-0.09565712944804816,-0.10091743119266061,-0.07424242424242411,-0.08605984636102615,-0.09259259259259267,0.0,0.0,0.0,0.0,0.0,0.0,0.011327824670847378,0.0,0.0,0.0,0.0,-118.21880473361814,-0.191811294780027,-12756873.0,-2.89,-12756873.0,-2.89,0.0,0.0
2024-01-11,华胜天成,600410,6.13,6.3,6.35,6.09,129932,81327394.0,4.255319148936167,3.11,0.19,1.18,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.286,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.004630783539422894,-0.31435517559727144,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.09072530245146922,-0.04449170929291805,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-325509.2301012711,-415560.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.2599999999999998,73.33333333333381,12993.2,0.035077564250984024,0.179144877557475,1,0.25,0,0.0,0,0,0,0.8511222062576098,-87.22122362552831,0.0,0.0,0.2928589996183077,0.7926639766641492,1.0277324632952691,1.0426929392446633,0.8076923076923083,0.03109656301145658,0.20409978870890022,0.20408163265306123,0.0,0.22006460336538458,0.21649484536082464,-0.042553191489361764,0.18677785592283724,0.17999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.023872517099798634,0.0,0.0,0.0,0.0,-98.18039297176237,-0.1568582517612915,-12756873.0,-2.89,-12756873.0,-2.89,0.0,0.0
2024-01-12,华胜天成,600410,6.29,6.16,6.3,6.16,103800,64567939.0,2.222222222222217,-2.22,-0.14,0.95,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.23,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.008126575875999397,-0.2543399018819451,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.1031924017167781,-0.05642446478189532,14.705882352941241,15.296226017288712,19.407547965422705,14.705882352941241,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-429309.2301012711,-519360.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.13999999999999968,-30.000000000000227,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-79.99248481172877,0.0,0.0,0.2928589996183077,0.7926639766641492,0.9793322734499206,1.0227272727272727,0.0,-0.022222222222222143,-0.20112058615275685,-0.19491525423728817,-0.019108280254777066,-0.08069187235964614,-0.07766990291262144,-0.0434782608695653,-0.13008498013777847,-0.12844036697247718,0.0,0.0,0.0,0.0,0.0,0.0,0.024003096619051013,0.0,0.0,0.0,0.0,-122.89739983237156,-0.197572866657973,-12756873.0,-2.89,-12756873.0,-2.89,0.0,0.0
2024-01-15,华胜天成,600410,6.16,6.15,6.19,6.11,72377,44615423.0,1.2987012987012998,-0.16,-0.01,0.66,-12756873.0,-2.89,-2353293.0,-0.53,-10403580.0,-2.35,-6883960.0,-1.56,19640833.0,4.44,6.2,6.354,6.349,5.811599999999999,5.415900000000001,4.8107,110899.5,1.011,6.305833333333333,6.017307692307693,-0.011737121587636165,-0.18456854372284948,0.035828975511495005,-7.401812688821751,0.2274781655224818,6.917695413806205,5.780304586193796,0.3689984160389457,-0.11399781694413517,-0.06746946950406851,14.516129032258181,15.296226017288712,19.407547965422705,14.516129032258183,15.296226017288712,12.085427135678367,28.09045226130658,41.04239737885593,6.430167409873972,42.45928038774713,-429309.2301012711,-591737.0,-0.3380864956325058,4.722332074863913,-64.8351648351648,0.21642857142857144,-30.17572762218569,32.82442748091599,0.46619443091162405,0.4383699584521267,1.4916266969079144,0.08000000000000007,-42.85714285714304,12993.2,0.035077564250984024,0.179144877557475,0,0.25,0,0.0,0,0,0,0.8511222062576098,-75.42067617712894,0.0,0.0,0.2928589996183077,0.7926639766641492,0.9983766233766234,1.0130932896890343,0.5,-0.0016233766233766378,-0.3027263969171483,-0.3052631578947368,0.00654664484451728,-0.32927123104867106,-0.3265306122448979,-0.023809523809523725,-0.3203782301682693,-0.31958762886597936,0.0,0.0,0.0,0.0,0.0,0.0,0.02291605945734142,0.0,0.0,0.0,0.0,-176.2534609964354,-0.28592965966209355,-12756873.0,-2.89,-12756873.0,-2.89,-12756873.0,-2.89
