Date,股票名称,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,PriceChangeRate,PriceChangeAmount,TurnoverRate,MainNetInflow,MainNetInflowRatio,SuperLargeNetInflow,SuperLargeNetInflowRatio,LargeNetInflow,LargeNetInflowRatio,MediumNetInflow,MediumNetInflowRatio,SmallNetInflow,SmallNetInflowRatio,MA5,MA10,MA20,MA50,MA100,MA200,AVG_VOL,AVG_TR,EMA_12,EMA_26,Denoised_PriceChange,Momentum,Volatility,ROC,STD,Upper_Band,Lower_Band,%B,MACD,Signal,K,D,J,Stoch_K,Stoch_D,DI_plus,DI_minus,ADX,VWAP,MFI,AD,OBV,TRIX,TEMA,Williams_R,ATR,CCI,RSI,HV_20,GK_Volatility,Vol_Ratio,TR,TR_ROC,UD_Ratio,Normalized_ATR,BB_Width,Price_Up,Up_Days_Ratio,Extreme_Day,Extreme_Days_Count,Overbought,Oversold,OB_OS_Signal,Trend_Strength,TSI,CMO,Fisher_Transform_RSI,KST,KST_Signal,Close_Open_Ratio,High_Low_Ratio,Close_High_Position,Close_Pct_1,Volume_Pct_1,TurnoverRate_Pct_1,Close_Pct_3,Volume_Pct_3,TurnoverRate_Pct_3,Close_Pct_5,Volume_Pct_5,TurnoverRate_Pct_5,Close_Pct_10,Volume_Pct_10,TurnoverRate_Pct_10,Close_Pct_20,Volume_Pct_20,TurnoverRate_Pct_20,Price_Volatility_5,Price_Volatility_10,Price_Volatility_20,Volume_Price_Correlation,Turnover_Price_Correlation,MainInflow_Volume_Ratio,MainInflow_Amount_Ratio,MainInflow_MA_3,MainInflowRatio_MA_3,MainInflow_MA_5,MainInflowRatio_MA_5,MainInflow_MA_10,MainInflowRatio_MA_10
2024-01-02,红 宝 丽,002165,4.13,4.19,4.22,4.11,156549,67543453.0,1.9093078758949895,2.44,0.1,2.15,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.182,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,-0.0013911032812934637,-0.0010798641861432179,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,-0.0002835387180220802,-0.00012213206840739558,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,71158.63636363775,156549.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.10999999999999943,-18.18181818181789,76338.4,0.03639921722113497,0.3008095356832752,0,0.4,0,0.0,0,0,0,1.3987683109706934,100.0,0.0,0.0,-0.5272469616677418,0.1488770756044489,1.0145278450363198,1.0267639902676398,0.7272727272727316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-275.8857297987863,-0.63943888626128,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,红 宝 丽,002165,4.25,4.23,4.26,4.18,139524,60872780.0,1.9093078758949895,0.95,0.04,1.92,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.182,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,-0.005376103233651521,-0.003154508604832243,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,0.004815862312288666,0.0009692620143737488,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,106039.63636364008,296073.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.08000000000000007,-18.18181818181789,76338.4,0.03639921722113497,0.3008095356832752,1,0.4,0,0.0,0,0,0,1.3987683109706934,100.0,0.0,0.0,-0.5272469616677418,0.1488770756044489,0.9952941176470589,1.0191387559808613,0.6250000000000083,0.009546539379474916,-0.10875189237874405,-0.10697674418604652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-309.5496219315535,-0.7095110538813727,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,红 宝 丽,002165,4.22,4.23,4.25,4.19,145150,63332299.19,1.4184397163120472,0.0,0.0,1.99,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.182,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,-0.007451223137489316,0.001933811965316365,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,0.004667700316279521,0.0014286831845236386,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,154422.96969697485,296073.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.05999999999999961,-18.18181818181789,76338.4,0.03639921722113497,0.3008095356832752,0,0.4,0,0.0,0,0,0,1.3987683109706934,100.0,0.0,0.0,-0.5272469616677418,0.1488770756044489,1.0023696682464456,1.0143198090692123,0.6666666666666716,0.0,0.040322811845990625,0.03645833333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-297.55159110168034,-0.6819570877802978,-43189911.0,-1.9,0.0,0.0,0.0,0.0
2024-01-05,红 宝 丽,002165,4.26,4.17,4.27,4.14,124818,54233321.0,3.0732860520094536,-1.42,-0.06,1.72,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.182,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,-0.004988734438068744,0.0152598609077182,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,0.000837077315706622,0.0016073822386174566,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,87213.27738928307,171255.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.1299999999999999,-18.18181818181789,76338.4,0.03639921722113497,0.3008095356832752,0,0.4,0,0.0,0,0,0,1.3987683109706934,96.6562557413191,0.0,0.0,-0.5272469616677418,0.1488770756044489,0.9788732394366197,1.0314009661835748,0.23076923076923286,-0.014184397163120699,-0.14007578367206341,-0.13567839195979903,-0.004773269689737569,-0.20269053139911464,-0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-346.0203254312244,-0.7963722192787674,-43189911.0,-1.9,0.0,0.0,0.0,0.0
2024-01-08,红 宝 丽,002165,4.17,4.09,4.18,4.09,126546,54123905.0,2.158273381294961,-1.92,-0.08,1.74,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.182,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,6.631931174430363e-05,-0.008964712514010806,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,-0.0033151683678044963,0.0007040545497718439,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,-39332.722610716926,44709.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.08999999999999986,-18.18181818181789,76338.4,0.03639921722113497,0.3008095356832752,0,0.4,0,0.0,0,0,0,1.3987683109706934,89.68021336008779,0.0,0.0,-0.5272469616677418,0.1488770756044489,0.9808153477218226,1.02200488997555,0.0,-0.01918465227817745,0.013844157092727016,0.011627906976744207,-0.03309692671394815,-0.09301625526791091,-0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-341.2954159324204,-0.7979821522859049,-43189911.0,-1.9,-43189911.0,-1.9,0.0,0.0
2024-01-09,红 宝 丽,002165,4.12,4.15,4.18,4.1,124591,53302721.0,1.9559902200489014,1.47,0.06,1.71,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.174,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,0.005178835336164872,-0.07263237711964725,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,-0.009420012234588184,-0.0016569690531158558,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,-8184.972610714853,169300.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.08999999999999986,-18.18181818181789,76338.4,0.03639921722113497,0.3008095356832752,1,0.4,0,0.0,0,0,0,1.3987683109706934,84.44553339184858,0.0,0.0,-0.5272469616677418,0.1488770756044489,1.0072815533980584,1.0195121951219512,0.6250000000000083,0.014669926650366927,-0.015448927662668144,-0.017241379310344862,-0.01891252955082745,-0.14163968308646224,-0.14070351758793975,-0.009546539379474916,-0.2041405566308312,-0.20465116279069762,0.0,0.0,0.0,0.0,0.0,0.0,0.01465296225466035,0.0,0.0,0.0,0.0,-346.65075606780533,-0.8102758992308122,-43189911.0,-1.9,-43189911.0,-1.9,0.0,0.0
2024-01-10,红 宝 丽,002165,4.13,4.12,4.18,4.08,122405,52345654.0,2.4096385542168584,-0.72,-0.03,1.68,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.151999999999999,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,0.008177884646824032,-0.07551146624071509,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,-0.011288314796431841,-0.0032916099205121774,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,-32665.97261071442,46895.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.09999999999999964,24.999999999999446,76338.4,0.03639921722113497,0.3008095356832752,0,0.4,0,0.0,0,0,0,1.3987683109706934,78.88427757385087,0.0,0.0,-0.5272469616677418,0.1488770756044489,0.9975786924939468,1.0245098039215685,0.4000000000000018,-0.0072289156626507145,-0.017545408576863486,-0.01754385964912286,-0.011990407673860837,-0.019332147606915706,-0.023255813953488413,-0.026004728132387744,-0.12269573693414748,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.013250088111881593,0.0,0.0,0.0,0.0,-352.84145385030143,-0.8250906593871067,-43189911.0,-1.9,-43189911.0,-1.9,0.0,0.0
2024-01-11,红 宝 丽,002165,4.12,4.2,4.22,4.1,137990,59359262.5,2.9126213592233037,1.94,0.08,1.9,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.146,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,0.006362435786935665,-0.021169296491666337,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,-0.008197716567303137,-0.004398111145278932,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,59327.36072261994,184885.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.1200000000000001,100.00000000000146,76338.4,0.03639921722113497,0.3008095356832752,1,0.4,0,0.0,0,0,0,1.3987683109706934,75.03446331379818,0.0,0.0,-0.5272469616677418,0.1488770756044489,1.0194174757281553,1.0292682926829269,0.833333333333337,0.01941747572815533,0.12732323026020187,0.13095238095238093,0.02689486552567244,0.09043351824632939,0.09195402298850563,-0.007092198581560294,-0.04932828108852916,-0.045226130653266416,0.0,0.0,0.0,0.0,0.0,0.0,0.017358519909209908,0.0,0.0,0.0,0.0,-312.9907820075222,-0.7276018679039035,-43189911.0,-1.9,-43189911.0,-1.9,0.0,0.0
2024-01-12,红 宝 丽,002165,4.19,4.23,4.32,4.19,200484,87972162.7,3.0952380952380927,0.71,0.03,2.76,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.158,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,0.0013297382217007999,0.04328619958388498,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,-0.0037229071349553873,-0.004295573519968921,62.500000000000085,65.2777777777778,69.44444444444437,62.50000000000009,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,-17781.870046610624,385369.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.1299999999999999,0.0,76338.4,0.03639921722113497,0.3008095356832752,1,0.4,0,0.0,0,0,0,1.3987683109706934,72.26315115416791,0.0,0.0,-0.5272469616677418,0.1488770756044489,1.009546539379475,1.0310262529832934,0.3076923076923082,0.0071428571428571175,0.4528878904268425,0.4526315789473683,0.01927710843373487,0.6091370965800098,0.6140350877192982,0.014388489208633226,0.606210642695765,0.6046511627906976,0.0,0.0,0.0,0.0,0.0,0.0,0.015966110629686656,0.0,0.0,0.0,0.0,-215.4271441753747,-0.4909497411850062,-43189911.0,-1.9,-43189911.0,-1.9,0.0,0.0
2024-01-15,红 宝 丽,002165,4.22,4.24,4.26,4.19,160795,70342738.0,1.6548463356973848,0.24,0.01,2.21,-43189911.0,-1.9,-20749895.0,-0.91,-22440016.0,-0.99,-7461840.0,-0.33,50651744.0,2.23,4.188000000000001,4.1850000000000005,4.008,3.469,3.4695,3.4459,143885.2,1.9780000000000002,4.1825,3.7853846153846153,-0.003997486985599363,0.13902310159121603,0.06016190713665503,1.193317422434359,0.24112892380371334,4.610822309509284,3.4051776904907167,0.19476909348331536,0.0038426365977883023,-0.0024311081860270774,66.66666666666666,65.2777777777778,69.44444444444437,66.66666666666667,65.27777777777781,9.54323001631326,42.08809135399682,59.66389390505103,3.978150873077174,30.770871851116226,51130.272810533395,546164.0,0.0402761748629743,3.647302125382971,-85.10638297872345,0.13285714285714265,-200.06837606837558,22.44897959183676,0.41184554970313875,0.37634532236123946,1.5293562644448808,0.0699999999999994,-22.222222222222765,76338.4,0.03639921722113497,0.3008095356832752,1,0.4,0,0.0,0,0,0,1.3987683109706934,70.16279292877657,0.0,0.0,-0.5272469616677418,0.1488770756044489,1.0047393364928912,1.016706443914081,0.714285714285718,0.0023640661938533203,-0.19796592246762834,-0.19927536231884058,0.029126213592232997,0.3136309791266696,0.31547619047619047,0.036674816625916984,0.2706446667614939,0.2701149425287357,0.0,0.0,0.0,0.0,0.0,0.0,0.01044776220910563,0.0,0.0,0.0,0.0,-268.6006554889425,-0.6139924548573521,-43189911.0,-1.9,-43189911.0,-1.9,-43189911.0,-1.9
